epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.726,2.09324,2.98116,2.04163,0.44266,0.28814,0.25255,0.09079,2.23074,2.7082,2.07629,0.0671988,0.000331325,0.000331325
2,179.072,1.98866,2.61262,1.99773,0.47723,0.28814,0.28902,0.08934,2.39416,2.69493,2.22756,0.034197,0.000662838,0.000662838
3,267.305,2.01066,2.53443,1.9678,0.67137,0.4322,0.46618,0.14069,2.5581,2.33955,2.27019,0.00118789,0.000987089,0.000987089
4,355.888,1.95933,2.37578,1.91442,0.46821,0.42373,0.32413,0.09993,2.30764,2.43953,2.03065,0.000975531,0.000975531,0.000975531
5,443.906,1.94473,2.33655,1.90136,0.55101,0.49153,0.47216,0.1604,2.25173,2.0227,1.9924,0.000956777,0.000956777,0.000956777
6,531.46,1.90933,2.23714,1.86733,0.62412,0.47458,0.51289,0.17633,2.36919,2.16668,2.04324,0.000933019,0.000933019,0.000933019
7,617.735,1.86978,2.12479,1.81205,0.6762,0.4661,0.5615,0.21176,2.17646,2.17828,1.94107,0.000904518,0.000904518,0.000904518
8,703.078,1.84734,2.07239,1.82303,0.61866,0.41249,0.44369,0.12711,2.45014,2.0954,2.21826,0.000871585,0.000871585,0.000871585
9,788.296,1.80401,2.05579,1.79003,0.55724,0.60169,0.58823,0.21763,2.19681,1.95461,1.8949,0.000834582,0.000834582,0.000834582
10,873.233,1.83642,2.07286,1.78453,0.66543,0.49153,0.56489,0.20894,2.25438,1.90184,1.93083,0.000793913,0.000793913,0.000793913
11,959.035,1.78934,1.96202,1.73337,0.72482,0.52542,0.57694,0.18436,2.37751,1.75347,2.02719,0.000750025,0.000750025,0.000750025
12,1044.5,1.77987,1.92751,1.744,0.8235,0.54237,0.61858,0.20177,2.36667,1.81373,2.05548,0.000703398,0.000703398,0.000703398
13,1130.53,1.73241,1.83129,1.72533,0.84972,0.57502,0.69558,0.23036,2.31096,1.76402,1.95173,0.000654543,0.000654543,0.000654543
14,1216.58,1.72776,1.78943,1.68977,0.6455,0.61725,0.64698,0.23868,2.21991,1.58577,1.94848,0.000603995,0.000603995,0.000603995
15,1302.27,1.71029,1.77664,1.67949,0.74519,0.66102,0.72314,0.28038,2.12375,1.53414,1.87089,0.000552309,0.000552309,0.000552309
16,1388.24,1.7061,1.78985,1.66598,0.81706,0.60169,0.67779,0.21942,2.30312,1.73632,2.02581,0.00050005,0.00050005,0.00050005
17,1474.16,1.64027,1.70316,1.64112,0.78186,0.68644,0.72785,0.21879,2.37781,1.61483,2.03488,0.000447791,0.000447791,0.000447791
18,1559.89,1.65,1.66505,1.61956,0.75259,0.67026,0.72018,0.24606,2.18392,1.48488,1.86734,0.000396105,0.000396105,0.000396105
19,1644.87,1.61658,1.62804,1.61941,0.83276,0.67521,0.76361,0.24627,2.38995,1.51394,2.04828,0.000345557,0.000345557,0.000345557
20,1730.3,1.60446,1.58491,1.5931,0.83793,0.61864,0.71697,0.23711,2.34314,1.49017,2.03533,0.000296702,0.000296702,0.000296702
